grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
FC33123,W,100,Bf,2.5,VII,19.35,41.95,G,2,13.8,2.29
FC33243-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC33243-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FC33243,W,104,Y,2.4,IV,21.4,39.8,G,2.5,16,2.82
FC3548,W,97,Br,4,IV,19.2,40,T,2,18.7,2.41
FC3609,P,64,Y,1.3,I,20,43.2,G,2,13.6,1.76
FC3654-1,W,130,Bf,3.2,IV,19.1,42.5,G,2,14.2,2.76
FC3654N,P,99,Br,3.2,III,19.3,42.9,Ng,2,13.2,2.93
FC3659,W,135,Bf,4,VI,17.3,45.9,G,2.3,8.6,0.71
FC3981,W,96,Y,2.5,VI,18.45,43.6,T,2.5,15.7,1.59
FC4002B,W,112,Bf,2.8,III,21.2,40.9,G,2.3,14.6,3.2
FC4002N,W,124,Br,2.7,III,20.9,41.9,T,2,18.5,2.68
FC4007A,P,71,Bf,1.6,II,21.6,40,G,2.8,13.6,2.66
FC4007B,P,84,Y,3.5,III,19.4,44.1,T,2.3,15.3,3.25
NSL22316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI101404A,P,100,Bl,NA,II,8.8,49.4,T,NA,1.3,NA
PI101404B,P,102,Bl,NA,II,8.85,50,T,NA,1.5,NA
PI103079,W,73,Bf,2.5,V,17.3,46.1,G,2.3,8.2,1.99
PI103080,W,102,Bf,4.8,IV,18.4,43.1,G,2.3,10.3,2.27
PI103088,W,86,Bf,3.6,III,17.9,47.1,G,2.3,11.2,2.22
PI103091,W,99,Bf,4.8,IV,18.4,42.9,G,2.5,10.3,2.44
PI103414,P,76,Ib,2.3,II,21.6,37.7,G,2.8,12.7,2.28
PI103415,W,119,Lbf,3.9,IV,16.8,44,G,2.5,14.1,2.4
PI103419A,P,128,Y,4,V,19.85,44.9,G,3.3,17.3,1.83
PI103419B,P,114,Y,3.4,IV,19.1,41.7,G,2.8,23.3,2.72
PI104708,P,79,Y,3.4,III,19.9,42.8,G,3,20.8,2.45
PI105579,P,86,Y,4.1,IV,18.5,43.2,G,2.8,27.7,2.13
PI123439,P,110,Ib,4,VII,11.4,50.95,G,2.5,4.5,1.45
PI123440,P,180,Brbl,4,VI,15.4,47.9,T,3,10.9,0.96
PI123577A,P,73,Bf,4,V,18.8,44.85,G,2.5,14.1,2.62
PI123577B,W,122,Bf,4.3,IV,17.15,43.95,G,2.5,16,2.62
PI123578,W,84,Lbf,3.5,III,18.2,44.9,G,2.5,20.5,1.8
PI123587,P,133,Bf,4.5,V,17.25,44.95,G,3,13.1,1.66
PI123590,W,128,Y,5,V,18.85,46.7,G,3.5,24.4,1.22
PI124871,W,58,Bl,2.6,IV,17.7,42.1,T,3,33.4,1.39
PI131531,P,61,Br,2,I,20.4,38.3,T,2.8,22,1.85
PI132201,P,97,Bl,3.8,I,17.7,40.2,Lt,2,9.8,2.13
PI132203,W,64,Rbr,2,0,18.8,44.95,T,3,18.4,0.93
PI132204,P,99,Bl,3.5,0,16.8,45.9,T,2,12.1,1.78
PI132205,P,99,Bl,3.5,0,16.8,45.6,T,2,12.4,1.82
PI132206,P,99,Bl,3.6,I,16.65,41.95,G;Lt,2,9.4,1.92
PI132207,P,79,Y,2.5,0,17.2,46.8,G,2.5,22.2,1.65
PI132214,W,66,Rbr,3,0,17.7,44.3,T,3,22.9,1.12
PI132215,P,81,Bl,2.3,I,20.4,39.7,T,2.3,12.5,1.84
PI132217,W,66,Rbr,1,0,17.85,44.65,T,3,17.2,0.93
PI133226,W,154,Bf,5,VIII,13.1,47.7,G,3,11.6,1.04
PI135589,W,84,Bl,4,II,15.5,40.9,T,2,5.6,1.91
PI135590,P,79,Br,4.3,II,15.05,42.4,T,2,5.4,1.61
PI135624,P,98,Bl,NA,II,9.1,49.2,T,NA,1.4,NA
PI142491,P,74,Y,1.3,I,20.05,41.7,G,2.3,13.2,1.82
PI145079,P,95,Bf,2.5,VII,18.35,43.15,G,2,17.4,1.63
PI148259,P,145,Br,5,VIII,14.3,48,T,2.8,6.9,0.75
PI148260,P,125,Bf,4.5,VI,17.1,45.5,G,2,12.9,1.11
PI151249,W,69,Rbr,2.5,0,18.1,45.2,T,3.5,21.4,1.19
PI152361,P,81,Br,4,0,18.5,42.8,T,2.5,15.5,1.56
PI152573,W,61,Rbr,2.5,0,16.4,44.9,T,3.5,20.7,0.69
PI153203,W,69,Rbr,2,0,17,45.4,T,3.5,21.2,0.69
PI153208,W,61,Rbr,2,0,17.6,44.5,T,3,20,0.94
PI153209,P,84,Br,2.5,0,17.1,41.9,T,2.5,15.5,1.59
PI153210,W,84,Br,4,0,16.6,45.9,T,3.5,23.4,1.53
PI153211,W,64,Rbr,3,0,16.9,44.3,T,3,20.3,1.33
PI153212,W,69,Rbr,3,0,17.1,45,T,3.5,21,1.08
PI153213,P,102,Br,5,0,18,45.25,T,2.5,15.4,1.59
PI153214,P,69,Br,1.3,I,18.2,41.1,T,2,11.8,1.82
PI153215,P,74,Rbr;Rbr,3.2,I,21.3,37.1,T,2.3,11.6,2.18
PI153216,W,69,Rbr,2.5,0,15.9,45.1,T,3.5,18.4,0.75
PI153217,W,66,Rbr,2.5,0,16.6,44.7,T,3,21.8,1.3
PI153218,W,61,Rbr,2.5,0,17.1,45.4,T,3.5,23.7,0.98
PI153219,W,71,Rbr,2,0,17.6,43.5,T,2.5,19,1.07
PI153221,W,69,Rbr,2.5,0,17,45.4,T,4,22,0.75
PI153222,W,61,Rbr,2,0,16.8,45.6,T,3.5,23.2,0.82
PI153223,W,56,Rbr,2.5,0,17.4,44.4,T,3,24.7,0.88
PI153225,W,61,Rbr,2,0,17.6,44.9,T,3.5,23,1.16
PI153226,P,91,Br,2.6,II,20.3,38.9,T,2.3,14.6,2.85
PI153227,P,91,Bl,2.2,I,21.1,36.8,T,3,15.7,2.36
PI153229,W,64,Rbr;Rbr,2.3,I,19.5,38.3,T,2.8,15.5,1.74
PI153230,W,66,Rbr,1.5,0,18,43.9,T,3.5,18.5,0.69
PI153231,P,99,Rbr;Rbr,3.3,III,19.9,42,T,2.3,16,2.74
PI153233,P,91,Y,4,0,21.2,40.4,G,3,18.7,2.08
PI153234,P,74,Y,2.5,0,17.1,47,G,3,22.4,1.45
PI153235,P,69,Bl,2.5,0,18.75,44.25,T,3,17.6,2.14
PI153236,P,86,Y,2.4,I,20.4,39,G,2.8,13.3,2.07
PI153237,P,66,Br,4.5,0,18.4,42.6,T,2.5,16.6,1.89
PI153238,P,94,Y,1.4,I,20.2,38.8,G,2.8,14.5,2.13
PI153239,P,71,Br,3.5,0,19.7,42.2,T,2,11,2.01
PI153240,P,71,Bf,3.5,0,21.8,40.35,G,2,18,2.03
PI153241,P,76,Br,4.5,0,19.3,41,T,2,14.7,2.43
PI153242,P,74,Br,3.5,0,20.6,42.25,T,2.5,11.2,1.92
PI153243,W,122,Bl,4.8,III,20.4,40.6,T,2.5,15,3
PI153244,W,81,Bl,1.6,I,19.8,37.8,T,2.8,12.6,2
