grin_accession,flower_color,height,hilum_color,lodging,maturity_group,oil,protein,pubescence_color,seed_quality,seed_weight,yield
PI398964,P,80,Bf,3,IV,16.9,43.6,G,3,16.6,1.68
PI398965,W,120,Bl,2.1,IV,18.6,44.2,T,1.5,11.5,2.45
PI398966,P,61,Bl,3.5,VI,19.3,45.2,T,2.3,14.7,1.14
PI398967,P,69,Bf,3.5,VI,17.6,40.5,G,2,10.1,0.9
PI398968,W,39,Y,2,V,18.8,47.3,G,2.3,11.8,1.36
PI398969,W,40,Y,2,V,20.65,42.3,G,2.8,14.1,1.58
PI398970,P,79,Lbf,2.2,IV,16,49.1,G,1.8,8.7,2.51
PI398971,W,32,Bf,2,V,19.15,45.9,G,3.3,15.9,1.18
PI398972,W,35,Bf,2,V,19.9,46.15,G,3,16.2,1.32
PI398973,P,128,Bl,4,VI,18.1,48.2,T,2.5,17.2,0.84
PI398974,P,47,Bl,2.5,V,18.5,47.8,T,2.3,22.5,1.42
PI398975,P,72,Y,3.3,IV,15.6,43.8,G,2,9.6,1.99
PI398976,P,43,Y,2.5,V,18.8,45.6,G,2.5,7.3,1.99
PI398977,P,54,Bl,2,V,17.05,46.1,T,2.5,17.3,1.45
PI398978,P,60,Bf,2.5,VI,19.55,45.6,G,2.3,15.1,0.82
PI398979,P,63,Lbf,3.5,V,18.65,45.55,G,2.3,9.5,1.82
PI398980,W,77,Y,3.3,III,18,44.5,G,2.5,19.4,2.64
PI398981,P,85,Y,2.4,IV,17.9,46.4,G,1.8,19.8,2.33
PI398982,P,77,Y,2.1,IV,17.2,47,G,1.8,17.5,2.47
PI398983,P,55,Br,3,VI,11.7,51.5,T,1.8,6.7,0.51
PI398984,W,36,Y,2,V,19.85,44.65,G,3.3,23.5,1.23
PI398985,P,63,Y,2.5,IV,15.9,45.2,G,2,14.5,1.96
PI398986,P,63,Gn,3,V,17.4,46.45,G,2,7.5,1.18
PI398987,P,86,Bf,3.5,IV,16.6,42.2,G,2.3,15.6,2.23
PI398988,W,79,Y,3.3,IV,17.1,43.3,G,1.8,15,1.86
PI398989,W,68,Bf,1.8,III,17.7,45.8,G,2.3,22.6,2.39
PI398990,P,67,Bf,1.8,IV,18.5,43.8,G,2.8,21,2.38
PI398991,P,59,Bf,3,V,20.15,44,G,2.8,11.8,1.57
PI398992,W,82,Bf,2.3,III,17.8,44.3,G,2.5,24.9,2.55
PI398993,W,81,Bf,2.6,III,18.25,44.45,G,2.3,24.9,2.4
PI398994,P,70,Y,2.1,IV,18.35,46,G,2.3,16.9,2.07
PI398995,P,84,Y,2.5,IV,17.3,48.4,T,2,21.5,2.23
PI398996,W,88,Bf,2.3,IV,18.3,44.9,G,1.8,14,2.52
PI398997,W,77,Y,2.5,IV,17.8,47,G,2.3,20.3,2.41
PI398998,P,75,Bf,3,VI,15.8,46,G,2.3,13.4,1.03
PI398999,P,64,Bf,3,VI,15.9,46.6,G,1.8,8.3,1.16
PI399000,W,35,Y,2,V,19.4,45.55,G,2,11.6,1.74
PI399001,P,89,Bf,2.6,IV,16.65,47.8,G,1.8,12.9,2.31
PI399002,W,37,Y,2,V,19,46,G,2.3,11.6,1.56
PI399003,W,39,Y,2.5,V,18.65,45.9,G,2,12.1,1.49
PI399004,P,67,Br,2,IV,16,42.4,T,2,15.1,2.08
PI399005,P,65,Bf,1.8,IV,18.35,44.85,G,2.8,20.6,2.22
PI399006,W,67,Bf,3.5,IV,16.1,43.3,G,2,12.9,1.55
PI399007,P,47,Brbl,3.5,V,17.3,47.1,Ng,2,7.1,0.78
PI399008,W,87,Bf,2.6,III,18.4,44.1,G,1.8,13,2.7
PI399009,W,32,Y,2,V,20.55,43.75,G,2.8,15.4,0.98
PI399010,P,84,Y,2.4,IV,18.3,46.2,G,1.8,19.7,2.24
PI399011,P,69,Y,2.1,IV,18.4,46.4,G,2.3,21.2,1.96
PI399012,P,34,Y,2.5,V,18.2,45.95,G,2.3,7.3,1.55
PI399013,P,52,Br,4,V,17.4,47.85,T,2.3,9.8,1.26
PI399014,P,44,Y,3,V,18.55,46.35,G,2.3,6.8,2.38
PI399015,P,75,Bf,3.3,IV,18.55,45.6,G,3,18.1,1.49
PI399016,P,82,Bf,2.5,IV,18.7,46.3,G,2.3,19.4,2.7
PI399017,P,74,Bf,1.5,IV,17.7,44.9,G,2.5,19,1.64
PI399018,W,72,Bf,2.3,IV,16.6,43.9,G,3,14,1.91
PI399019,W,71,Bf,2.8,IV,16.6,45,G,3,14.8,1.95
PI399020,P,69,Y,2,IV,15.45,45.9,G,2.8,13.5,1.2
PI399021,P,43,Y,3,V,19.3,45.6,G,2.5,6.7,2.25
PI399022,Dp,86,Bf,1.8,IV,16.8,46.6,G,2.5,18.8,2.04
PI399023,Dp,67,Bf,2.3,IV,16.6,45.8,G,2.3,20.8,1.98
PI399024,W,38,Y,2,V,19.35,44.55,G,2.3,11.8,1.64
PI399025,P,56,Lbr,3,V,17.7,46.1,T,2,8.4,1.34
PI399026,P,60,Bf,2,V,18.95,44.75,G,3.3,13.4,2.66
PI399027,P,88,Bf,2,IV,18.3,43.9,G,2.3,17.8,2.47
PI399028,P,80,Y,1.5,IV,16.2,45.4,G,2.5,16.4,2.01
PI399029,W,32,Y,2,V,18.55,47.3,G,2.3,11.5,1.1
PI399030,P,81,Y,2,IV,18.7,44.85,G,1.5,20.3,2.41
PI399031,P,81,Y,2,IV,16.9,45.2,G,2.5,19.5,1.98
PI399032,P,58,Bf,1.5,V,18.7,47.3,G,3.3,17.4,2.12
PI399033,P,51,Lbf,2.5,V,21.15,42.05,G,3,17.2,2.08
PI399034,P,79,Y,3,IV,17.5,45.7,T,2,22.2,2.54
PI399035,W,95,Br,2,IV,17.2,42.4,T,2,10.6,2.02
PI399036,W,93,Y,2.3,IV,17.4,44.8,G,2.3,22.6,2.4
PI399037,P,47,Rbr,2.5,V,18.5,47.2,T,2.3,18.4,1.4
PI399038,W,33,Y,2,V,19.45,45.65,G,2.5,13.1,1.35
PI399039,P,70,Bf,2,IV,18.6,46.15,G,2.8,20.5,2.17
PI399040,P,55,Rbr,4,V,17.4,48.65,T,2,11,1.15
PI399041,P,97,Bf,4.5,VI,14.6,49.9,G,1.8,7.5,0.77
PI399042,P,33,Y,1.5,V,19.55,45.5,G,3.3,18.2,0.8
PI399043,W,80,Y,2.6,III,18.3,44,G,2.3,23.1,2.26
PI399044,W,65,Br,2.5,V,21.8,42.35,T,2.8,11.5,3.14
PI399045,W,67,Br,2.5,V,21.45,42.4,T,3,11.2,2.95
PI399046,P,67,Br,3.8,IV,17.1,43.4,T,2.3,26.1,2.28
PI399047,P,61,Rbr,1,VI,17.3,46,T,2.3,19.9,1.16
PI399048,P,60,Bl,1.5,VI,20.2,45.85,T,3,28.2,0.47
PI399049,P,86,Bl,3,VI,18.05,45.95,T,2.8,20.6,1.2
PI399050,W,50,Brbl,3.5,V,15.05,48.65,Lt,2.3,7.3,0.86
PI399051,B,78,Lbf,2.5,IV,17.6,43.5,G,2,19.3,2.62
PI399052,P,50,Gn,2.5,V,18.15,47.5,T,3.3,20.9,1.29
PI399053,P,61,Bl,2,VI,19.1,44.3,T,3,29.8,0.85
PI399054,P,67,G,4.3,IV,18.8,43.2,G,3.3,27.9,1.81
PI399055,P,41,Bl,3,V,18,44.95,T,2.5,18.7,1.41
PI399056,P,49,Bl,2.5,V,20.35,41.75,T,2.5,18.7,1.55
PI399057,W,56,Bl,4,V,16.55,46.3,T,2.5,7.9,1.06
PI399058,W,51,Bl,4,V,16.7,47.65,T,1.8,7.4,1.56
PI399059,W,49,Brbl,3,V,15.5,51.3,T,2,7.5,0.87
PI399060,W,55,Bl,4,V,17.55,49.95,T,3,8,1.39
PI399061,P,72,Bf,3,VI,16.4,46.7,G,2,11.3,0.53
PI399062,P,50,Bf,3,V,16.3,47.4,G,2.5,6.2,0.74
PI399063,W,63,Lbf,2,III,17.5,46,G,2.3,22.2,2.4
PI399064,W,143,Gnbr,4.5,V,16.4,48.15,T,2.5,9.2,1.11
PI399065,P,35,Y,2,V,20.2,43.8,G,3,16.4,1.62
PI399066,P,76,Rbr;Rbr,3.5,IV,15.8,44.8,T,2.5,18.1,2.12
PI399067,W,48,Brbl,4,V,16,49.6,T,2,7.1,0.96
PI399068,W,76,Y,3.5,III,17.9,45,G,2.3,22.4,2.49
PI399069,W,70,Bf,1.8,IV,17.1,46.3,G,2.8,30.7,1.82
PI399070,P,53,Bl,2,IV,16.3,44.3,T,3,27,1.54
PI399071,P,38,Bl,2.5,V,18.85,43.7,T,2.3,13.9,1.25
PI399072,Dp,79,Br,2.7,IV,17.3,48.4,T,2.3,24,2.21
PI399073,P,77,Y,3,IV,17.8,47.9,G,2,21,2.23
PI399074,W,77,Bf,3.5,0,15.6,47.1,G,1.8,11.1,1.51
PI399075,P,54,Gn,2.5,V,20.45,44.6,G,2.3,7.6,1.18
PI399076,P,143,Gnbr,4.5,V,16.5,49.95,T,2.3,7.5,0.67
PI399077,Dp,86,Br,2.3,III,16.5,45.3,T,2,11.9,2.05
PI399078,P,49,Bf,2.5,V,14.75,50.7,G,2.5,6.2,1.01
PI399079,P,83,Bf,3.5,IV,16.2,45,G,2,7.9,1.68
PI399080,P,73,Y,3.6,III,16.6,48.1,G,2.3,20,2
PI399081,P,52,Lbr,4,V,15.85,46.8,T,2,8.1,1.46
PI399082,W,58,Brbl,4,V,17.05,46.55,T,2.3,10.6,1.84
PI399083,W,50,Brbl,4,V,15.7,49.95,T,2.3,7.8,1.01
PI399084,W,125,Bl,4.5,V,14.15,52.35,T,2.8,6.8,0.69
PI399085,W,50,Bl,3.5,V,16.25,49.45,T,2.5,7.7,0.82
PI399086,W,48,Bl,3,V,16.25,49.2,T,2.3,7.4,0.83
PI399087,P,62,Bl,1.5,VI,17.9,43.8,Ng,2.5,18.6,1.21
PI399088,P,58,Bl,3,VI,17.6,46.2,Ng,2.5,19.2,0.71
PI399089,P,43,Gnbr,3.5,V,19.8,44.65,T,2.8,20.9,0.88
PI399090,P,59,Rbr,2.5,VI,17.1,45.9,T,2.5,17.8,0.9
PI399091,P,86,Y,2.6,IV,17.5,46.4,G,2,20.1,2.37
PI399092,P,75,Y,3.1,IV,19.3,43.2,G,2,17.8,2.5
PI399093,P,85,Y,2.5,IV,17.8,46.6,G,2.3,20,2.41
PI399094,W,75,Br,3,IV,19.45,45.35,T,2.3,25.1,2.61
PI399095,P,60,Bf,2.5,V,16.65,46.65,G,3,10.9,1.22
PI399096,W,50,Brbl,3.5,V,16.1,49.4,T,2.3,7.2,0.86
PI399097,P,44,Brbl,3,V,14.4,50.7,T,2.3,5.1,0.97
PI399098,P,43,Bl,2.5,V,17.75,46.75,T,2.5,8.4,0.99
PI399099,P,47,Y,3.5,V,18.1,45.45,G,2.5,7,1.94
PI399100,P,160,Br,4.5,V,18.75,46.6,T,3,8.9,0.98
PI399101,P,70,Gn,2.5,V,19.2,45.2,G,2.3,9.8,1.4
PI399102,P,67,Bl,2.5,VI,11.7,46.8,T,2,5.4,0.8
PI399103,W,57,G,3.5,V,15.45,50.2,T,2.3,7.1,1.03
PI399104,P,75,Bl,2,VI,12,50.8,T,2.3,8.5,0.73
PI399105,W,61,Bl,4,V,16.65,48.7,T,2.8,9.5,1.32
PI399106,P,77,Rbr;Rbr,3.3,IV,15.7,44.3,T,2.3,16.8,1.81
PI399107,W,45,Y,3,V,18.9,46.15,G,2,11.7,1.64
PI399108,W,56,Bf,2.5,V,14.9,46.7,G,2.3,10.3,1.71
PI399109,P,148,Bl,4.5,V,16.8,46.25,T,3,6.8,1.09
PI399110,W,49,Brbl,4,V,17.2,49.55,Lt,2,7.2,0.78
PI399111,W,53,Bf,3.5,V,18.05,47.9,G,2,7.8,1.56
PI399112,P,67,Br,3.8,IV,16.1,45.5,T,2.5,15.9,1.78
PI399113,W,34,Y,2,V,19.05,46.25,G,2.3,12.1,1.45
PI399114,P,61,Bf,3,V,17.05,49.5,G,2.5,8.4,1.06
PI399115,W,50,Bf,4,V,17.6,47.95,G,2.5,7.6,1.31
PI399116,W,38,Y,2,V,18.8,46.2,G,2.3,12.7,1.52
PI399117,W,34,Y,2,V,18.95,46.55,G,2.5,12.7,1.49
PI399118,P,40,Y,3,V,19.55,45.2,G,2.3,7.8,1.85
PI399119,P,98,Br,2.8,IV,17.1,46.2,T,2,11.7,2.08
PI399120,P,110,Br,4.5,V,17.45,46.05,T,2,10.5,1.68
PI399121,P,67,Gn,2.5,V,20.05,46.55,Lt,2,8.1,1.18
PI399122,P,67,Bl,3.5,V,18,45.7,T,2.8,7.9,1.21
PI399123,W,45,Brbl,4,V,16.85,50.15,T,2,7.6,0.63
PI399124,W,66,Bl,3.5,V,17.25,51.15,T,2.8,8.1,0.95
PI399125,W,44,Bl,3,V,16.8,50.2,T,3,6.3,0.74
PI399126,P,36,Bl,2,V,18.45,42.45,T,2.8,20.2,1.3
PI401418,P,70,Br,4.5,I,13.1,43.8,T,2,2.6,1.83
PI404151,P,106,Bl,4,II,14.8,45.9,T,2.3,9.8,2.62
PI404152,W,88,Y,3.5,III,18.65,45.6,G,2.3,18.3,2.88
PI404153,W,120,Br,3.3,IV,17.95,43.55,Lt,2,20.2,3.05
PI404154,W,103,Bf,2.8,III,18.45,44.2,G,2.8,16.3,3.2
PI404155A,P,79,Y,2.5,0,19.5,43.85,G,2.3,19.8,1.92
PI404155B,W,74,Bf,2.3,I,20.1,43.2,G,2.5,16.9,3.17
PI404155C,P,80,Br,4,0,19.9,44.2,T,1.8,15.1,2.06
PI404156,W,74,Lbf,3.3,I,20,42.65,G,3.5,17.7,2.76
PI404157,P,81,Y,1.9,I,19.6,43.4,G,2.8,18.4,3.35
PI404158,W,69,Y,1.3,I,18.9,46.5,G,3,19.9,2.8
PI404159,W,81,Y,2,IV,17.8,44.5,G,2.8,14.9,2.01
PI404160A,W,106,Bf,3,III,18.75,43.6,G,2.5,17.3,3.02
PI404160B,W,109,Bf,3.9,III,19.6,43.7,G,2.5,17.4,3.45
PI404161,W,109,Bf,2.9,IV,18,44.4,G,2,17.6,3.04
PI404162,P,81,G,3.5,0,20.25,41.55,G,1.8,16.7,2.56
PI404163,W,133,Br,3.8,IV,16.8,47.3,T,2.3,16.3,1.8
PI404164,W,135,Bf,3.1,IV,18.15,45.1,G,2,16.6,2.24
PI404165,P,161,Bl,2.9,IV,15.5,45.4,Lt,2,9,2.28
PI404166,P,100,Bl,2.5,III,15.5,43.1,T,1.8,8.1,2.15
PI404167,W,125,Bf,3.1,IV,18.5,43.9,G,2,16.1,2.54
PI404168,W,96,Bf,4.3,III,17.3,46.6,G,2,8.3,2.02
PI404169A,P,95,Br,2.4,I,19.3,44.5,T,3,13.3,2.61
PI404169B,P,86,Ib,3.9,III,17,44.2,G,1.5,10.1,2.29
PI404170,P,164,Blbr,3.8,IV,17.8,45.9,T,1.5,11.9,2.5
PI404171,W,80,Bf,2.8,II,20,42.6,G,2.3,15.3,3.02
PI404172,P,110,Ib,3.5,IV,16.2,44.8,G,2.5,19.6,1.69
PI404173A,W,113,Bf,3.8,IV,17.3,46.2,G,2,16,2.25
PI404173B,W,165,Br,3.8,IV,18,45.7,T,1.8,15.1,2.3
PI404174,W,117,Bf,3.8,IV,17,45.9,G,2.3,15.8,2.08
PI404175,P,114,Bf,3.1,III,18.1,45.7,G,2,14.5,2.51
PI404176,W,118,Bf,3.5,IV,16.8,45.9,G,2.3,15,2.16
PI404177,P,105,Y,2.9,IV,15.5,51.4,G,2.3,14.9,2.08
PI404178,W,143,Bf,2.3,IV,17.1,45.75,G,3,19.5,1.41
PI404179A,W,130,Bf,3.6,IV,17.05,46.8,G,2,12.6,2.87
PI404179B,P,122,Bf,3,IV,17.4,45.7,G,1.8,15.3,2.74
PI404180,W,93,Bf,3.5,III,17.6,45.5,G,2.3,10.8,2.56
PI404181,W,127,Bf,4,IV,17.2,44.8,G,2,12,1.6
PI404182,Lp,110,Bf,3.5,III,16.7,46.2,G,2,9.7,2.4
PI404183,W,96,Bf,3.8,IV,17.5,46.2,G,2,12.1,2.07
PI404185,W,87,Bl,3.8,IV,17.45,45.85,T,1.5,14.6,3.01
PI404186,P,89,Ib,3.9,III,16.8,45.9,G,2.3,13.4,2.27
PI404187,P,113,Br,4.1,II,16.8,46.3,T,1.8,10.4,2.28
PI404188A,W,111,Bl,2.1,II,19.3,43,T,2.5,13.9,3.21
PI404188B,P,112,Bl,3.1,III,17.85,46.5,Ng,2.5,14.8,2.1
PI404189,W,86,Bf,4,III,17.1,43.6,G,2,6.7,2.04
PI404190,P,122,Br,3.6,IV,17.2,44.3,T,1.8,11.4,2.61
PI404191,W,97,Br,3.4,IV,17.5,43.5,Lt,1.8,14.8,2.43
PI404192A,W,83,Y,2.6,I,20.4,43.2,G,3.5,17.6,2.79
PI404192B,W,92,Y,2.3,I,21.25,43.85,G,3.3,18.5,2.86
PI404192C,W,75,Y,1.8,I,19.55,44.2,G,2.8,20.6,3.45
PI404193,W,133,Bf,3.8,IV,17.9,45.4,G,2,14.6,2.83
PI404194,W,120,Br,4,IV,17.05,45.75,T,1.8,11.3,2.33
PI404195,W,111,Bl,3.1,IV,16.7,44.4,T,2,12.9,2.08
PI404196A,P,93,Bf,3.3,II,14.9,46,G,2.3,10.4,2.12
PI404196B,Lp,98,Bf,3.6,III,16.7,47.2,G,1.8,9.4,2.55
PI404197,W,103,Bf,3.9,IV,17.7,45.2,G,1.8,12.1,2.08
PI404198A,P,88,Bl,3.8,IV,15.6,42.5,T,3,9.7,1.94
PI404198B,P,155,Bl,5,IV,14.3,42.9,T,3,8.5,1.53
PI404199,W,74,Bl,2.8,IV,17.6,43.3,T,2.3,12.2,2.46
PI405690,W,98,Bf,2.7,II,20,43.4,G,2.3,17.9,2.79
PI405691,W,84,Y,1.8,III,17.65,46.15,G,2.8,18.7,3.11
PI406684,P,139,Bl,NA,III,9.65,50.9,T,NA,2.3,NA
PI406707,P,66,Bf,1.5,IV,16.4,46.6,G,2.3,20.6,2.36
PI406708,P,61,Bf,1.5,IV,16.4,44.6,G,3,20.7,2.17
PI406709,W,91,Bl,1.8,IV,15.8,44.8,T,3.3,23.1,1.43
PI406710,P,69,Bf,2.6,IV,18.9,44.05,G,2,19.6,2.64
PI407018,P,NA,Bl,NA,V,11.4,46,T,NA,NA,NA
PI407019,P,NA,Bl,NA,V,11.8,48.6,T,NA,NA,NA
PI407020,P,NA,Bl,NA,V,10.7,50,T,NA,NA,NA
PI407021,P,NA,Bl,NA,V,11.2,51.7,T,NA,NA,NA
PI407022,P,NA,Bl,NA,V,10.1,53,T,NA,NA,NA
PI407023,P,NA,Bl,NA,V,11,48.2,T,NA,NA,NA
PI407024,P,NA,Bl,NA,V,11,48.8,T,NA,NA,NA
PI407025,P,NA,Bl,NA,V,10.6,52.7,T,NA,NA,NA
PI407026,P,NA,Bl,NA,V,10.6,47.9,T,NA,NA,NA
PI407027,P,NA,Bl,NA,V,11.6,50.7,T,NA,NA,NA
PI407028,P,NA,Bl,NA,V,11.3,44.3,T,NA,NA,NA
PI407029,P,79,Bl,NA,IV,8.5,50.4,T,NA,2,NA
PI407030,P,NA,Bl,NA,V,11.5,48.1,T,NA,NA,NA
PI407031,P,NA,Bl,NA,V,9.9,48.3,T,NA,NA,NA
PI407032A,P,NA,Bl,NA,V,9.5,48.4,T,NA,NA,NA
PI407032B,P,NA,Bl,NA,IV,12.4,45.1,T,NA,NA,NA
PI407033,P,NA,Bl,NA,V,12.5,42.6,T,NA,NA,NA
PI407034,P,NA,Bl,NA,V,12.1,50.9,T,NA,NA,NA
PI407035,P,NA,Bl,NA,V,11.5,51,T,NA,NA,NA
PI407036,P,NA,Bl,NA,V,11.5,49.9,T,NA,NA,NA
PI407037,P,NA,Bl,NA,V,10.4,50.9,T,NA,NA,NA
PI407038,P,NA,Bl,NA,V,11.4,50.8,T,NA,NA,NA
PI407039,P,NA,Bl,NA,V,10,52.1,T,NA,NA,NA
PI407040,P,NA,Bl,NA,V,11.3,46.3,T,NA,NA,NA
PI407041,P,NA,Bl,NA,V,10.2,45,T,NA,NA,NA
PI407042,P,NA,Bl,NA,V,11.2,44.8,T,NA,NA,NA
PI407043,P,NA,Bl,NA,V,10.3,51.6,T,NA,NA,NA
PI407044,P,NA,Bl,NA,V,11.8,46.2,T,NA,NA,NA
PI407045,P,NA,Bl,NA,V,11.7,42.9,T,NA,NA,NA
PI407046,P,NA,Bl,NA,VI,11.8,42.5,T,NA,NA,NA
PI407047,P,NA,Bl,NA,V,11.6,44.6,T,NA,NA,NA
PI407048,P,NA,Bl,NA,V,10.3,51.5,T,NA,NA,NA
PI407049,P,NA,Bl,NA,V,10,47.1,T,NA,NA,NA
PI407050,P,NA,Bl,NA,V,9.7,47.4,T,NA,NA,NA
PI407051,P,NA,Bl,NA,V,8.7,51.3,T,NA,NA,NA
PI407052,P,NA,Bl,NA,V,10.1,49,T,NA,NA,NA
PI407053,P,NA,Bl,NA,VI,9.9,47.3,T,NA,NA,NA
PI407054,P,NA,Bl,NA,VI,10.4,45.5,T,NA,NA,NA
PI407055,P,NA,Bl,NA,VI,11.2,45.4,T,NA,NA,NA
PI407056,P,NA,Bl,NA,VI,10.2,49,T,NA,NA,NA
PI407057,P,NA,Bl,NA,VII,11.8,46.8,T,NA,NA,NA
PI407058,P,NA,Bl,NA,VII,11.7,47.1,T,NA,NA,NA
PI407059,P,NA,Bl,NA,VII,9.7,48.6,T,NA,NA,NA
PI407060,P,NA,Bl,NA,VI,14.7,43.5,T,NA,NA,NA
PI407061,P,NA,Bl,NA,VI,9.2,46.8,T,NA,NA,NA
PI407062,P,NA,Bl,NA,VI,9,50.8,T,NA,NA,NA
PI407063,P,NA,Bl,NA,V,10.3,45.9,T,NA,NA,NA
PI407064,P,NA,Bl,NA,VI,10,45.9,T,NA,NA,NA
PI407065,P,NA,Bl,NA,VII,10.3,47.2,T,NA,NA,NA
PI407066,P,NA,Bl,NA,VI,10.5,45.4,T,NA,NA,NA
PI407067,P,NA,Bl,NA,VI,10,49.1,T,NA,NA,NA
PI407068,P,NA,Bl,NA,VII,10.8,46,T,NA,NA,NA
PI407069,P,NA,Bl,NA,VII,11.2,46.7,T,NA,NA,NA
PI407070,P,NA,Bl,NA,VII,12.8,45.3,T,NA,NA,NA
PI407071,P,NA,Bl,NA,VII,11,46.8,T,NA,NA,NA
PI407072,P,NA,Bl,NA,VI,11.3,45.5,T,NA,NA,NA
PI407073,P,NA,Bl,NA,VI,10.4,47.2,T,NA,NA,NA
PI407074,P,NA,Bl,NA,VII,11.4,47.1,T,NA,NA,NA
PI407075,P,NA,Bl,NA,VI,10.6,47.5,T,NA,NA,NA
PI407076,P,NA,Bl,NA,VII,12.2,47.2,T,NA,NA,NA
PI407077,P,NA,Bl,NA,VII,11.7,44.6,T,NA,NA,NA
PI407078,P,NA,Bl,NA,VII,10.7,45.7,T,NA,NA,NA
PI407079,P,NA,Bl,NA,VII,11.1,45.5,T,NA,NA,NA
PI407080,P,NA,Bl,NA,VI,9.3,45.3,T,NA,NA,NA
PI407081,P,NA,Bl,NA,VI,10,46.8,T,NA,NA,NA
PI407082,P,NA,Bl,NA,VI,9.5,48.8,T,NA,NA,NA
PI407083,P,NA,Bl,NA,VI,9.5,50.4,T,NA,NA,NA
PI407084,P,NA,Bl,NA,VI,10,46.5,T,NA,NA,NA
PI407085,P,NA,Bl,NA,VI,10.4,45,T,NA,NA,NA
PI407086,P,NA,Bl,NA,VI,9.2,48.6,T,NA,NA,NA
PI407087,P,NA,Bl,NA,VI,9.3,47.6,T,NA,NA,NA
PI407088,P,NA,Bl,NA,VII,9.4,47.8,T,NA,NA,NA
PI407089,P,NA,Bl,NA,VI,10.2,48.2,T,NA,NA,NA
PI407090,P,NA,Bl,NA,VI,12,47.2,T,NA,NA,NA
PI407091,P,NA,Bl,NA,VII,9.4,47.6,T,NA,NA,NA
PI407092,P,NA,Bl,NA,VI,9.7,48.8,T,NA,NA,NA
PI407093,P,NA,Bl,NA,VI,9.6,47.9,T,NA,NA,NA
PI407094,P,NA,Bl,NA,VI,10.7,46.5,T,NA,NA,NA
PI407095,P,NA,Bl,NA,VII,10.4,49.8,T,NA,NA,NA
PI407096,P,NA,Bl,NA,VII,10.7,47.9,T,NA,NA,NA
PI407097,P,NA,Bl,NA,VI,9.8,50,T,NA,NA,NA
PI407098,P,NA,Bl,NA,VI,10.3,50.7,T,NA,NA,NA
PI407099,P,NA,Bl,NA,VI,10.6,46.6,T,NA,NA,NA
PI407100,P,NA,Bl,NA,VII,9.3,50.3,T,NA,NA,NA
PI407101,P,NA,Bl,NA,VII,9.9,47.1,T,NA,NA,NA
PI407102,P,NA,Bl,NA,VI,9.9,50.5,T,NA,NA,NA
PI407103,P,NA,Bl,NA,VI,9.8,46,T,NA,NA,NA
PI407104,P,NA,Bl,NA,VI,8.4,51.6,T,NA,NA,NA
PI407105,P,NA,Bl,NA,VI,8.2,50.5,T,NA,NA,NA
PI407106,P,NA,Bl,NA,VI,10.7,43.9,T,NA,NA,NA
PI407107,P,NA,Bl,NA,VI,9.1,46.7,T,NA,NA,NA
PI407108,P,NA,Bl,NA,VI,9.7,46.5,T,NA,NA,NA
PI407109,P,NA,Bl,NA,VI,9.8,47.8,T,NA,NA,NA
PI407110,P,NA,Bl,NA,VI,10.9,45.5,T,NA,NA,NA
PI407111,P,NA,Bl,NA,VI,10.2,47.4,T,NA,NA,NA
PI407112,P,NA,Bl,NA,VII,10.5,45.9,T,NA,NA,NA
PI407113,P,NA,Bl,NA,VI,11.2,47.7,T,NA,NA,NA
PI407114,P,NA,Bl,NA,VI,10.7,48.5,T,NA,NA,NA
PI407115,P,NA,Bl,NA,VI,10.1,48.6,T,NA,NA,NA
PI407116,P,NA,Bl,NA,VII,9.1,50,T,NA,NA,NA
PI407117,P,NA,Bl,NA,VI,10.5,48.1,T,NA,NA,NA
PI407118,P,NA,Bl,NA,VI,11.2,45.3,T,NA,NA,NA
PI407119,P,NA,Bl,NA,VI,10.5,49.9,T,NA,NA,NA
PI407120,P,NA,Bl,NA,VII,11.2,48.3,T,NA,NA,NA
PI407121,P,NA,Bl,NA,VII,10.8,48.9,T,NA,NA,NA
PI407122,P,NA,Bl,NA,VII,10.6,48.1,T,NA,NA,NA
PI407123,P,NA,Bl,NA,VII,10,48.4,T,NA,NA,NA
PI407124,P,NA,Bl,NA,VI,9.2,49,T,NA,NA,NA
PI407125,P,NA,Bl,NA,VI,11.3,48,T,NA,NA,NA
PI407126,P,NA,Bl,NA,VI,11.3,45.8,T,NA,NA,NA
PI407127,P,NA,Bl,NA,VII,10.2,46.8,T,NA,NA,NA
PI407128,P,NA,Bl,NA,VII,9.6,45.9,T,NA,NA,NA
PI407129,P,NA,Bl,NA,VII,9.7,44.2,T,NA,NA,NA
PI407130,P,NA,Bl,NA,VII,10.1,45,T,NA,NA,NA
PI407131,P,NA,Bl,NA,VI,10.6,49.4,T,NA,NA,NA
PI407132,P,NA,Bl,NA,VI,10,42.1,T,NA,NA,NA
PI407133,P,NA,Bl,NA,VI,9.9,50.3,T,NA,NA,NA
PI407134,P,NA,Bl,NA,VI,11,52.2,T,NA,NA,NA
PI407135,P,NA,Bl,NA,VI,10.1,48.3,T,NA,NA,NA
PI407136,P,NA,Bl,NA,VI,10,51.4,T,NA,NA,NA
PI407137,P,NA,Bl,NA,VI,12.4,44.1,T,NA,NA,NA
PI407138,P,NA,Bl,NA,VI,11,49.7,T,NA,NA,NA
PI407139,P,NA,Bl,NA,VI,10.7,50.4,T,NA,NA,NA
PI407140,P,NA,Bl,NA,VII,11.2,46,T,NA,NA,NA
PI407141,P,NA,Bl,NA,VII,10.3,51.5,T,NA,NA,NA
