Cultivar,PI_Num
21080,NA
21082,NA
21097,NA
21111,NA
21119,NA
21132,NA
211948,PI 636117
21270LBW39,NA
212930,PI 636112
21710,NA
21710N120,NA
21720,NA
21721,NA
21726,NA
221524,PI 636115
22302S025,NA
231-4-5-1,NA
2324990,PI 628660
235908,PI 636119
236101,PI 636116
2386009,PI 634598
2387029,PI 646192
2388028,PI 646191
2400,PI 556655
2534,NA
25340,PI 632696
26-39M,NA
275934,PI 636123
293,PI 577809
29725K,PI 556890
2S11,NA
30094,NA
301,NA
30107,NA
30124,NA
30129,NA
30199,NA
30214,NA
30289F2,NA
30294,NA
30310,NA
30337R089,NA
3034,PI 556483
3035,PI 556544
30388,NA
30438,NA
306,NA
3061019-60,NA
3101R,NA
3133014,PI 638687
31438,NA
3171,NA
31713H013,NA
3172,PI 561211
3186004,PI 633051
31910,NA
3202,PI 561212
32127,NA
3233021,PI 642345
3235020,PI 642344
32745,NA
3282002,PI 634596
32870F2,NA
330738,PI 647985
3311,PI 559379
33405,PI 632697
34726,PI 556891
34870,PI 556892
358232,PI 647986
3602,PI 564694
361380,PI 636124
3615,PI 548835
377-8-1,NA
381,PI 577810
384279,PI 636110
385457,PI 647987
38735L,PI 542392
387907,PI 647988
3D1-11,NA
4-74-6-3,NA
40-3-2,NA
4010165,PI 647991
40305-117,NA
4064827-33,NA
4065130-22,NA
40656,NA
408337-BB,NA
40887,PI 632700
4136015,PI 638686
4158090,NA
4175567,PI 647992
4183026,PI 642348
4189010,PI 642319
41914S135,NA
4219527,PI 647993
4247825,PI 647994
4283008,PI 634570
4309194,PI 647995
435.TCS,NA
4353363,PI 647996
437973,PI 647989
4440685,PI 648003
44483,PI 636120
4498438,PI 648031
45217N901,NA
45233R043,NA
45270,NA
45282,NA
45487L002,NA
4559808,PI 647997
457028,PI 647990
4599695,PI 647998
4684181,PI 647999
4782157,PI 648000
4788561,PI 648001
4896902,PI 648235
49431,PI 632706
4958786,PI 648002
4J105-3-4,NA
4MP4148-32,NA
5002T,PI 634193
5050,PI 583284
5083011,PI 642167
5091007,PI 634597
52001307,NA
53381,PI 632698
5465901-26,NA
5601T,PI 630984
560T,NA
574-5,NA
5961,NA
5M20-2-5-2,NA
5PAAC58,NA
5PACK85,NA
5PALC58,NA
5PBBG02,NA
5PBDN11,NA
5PBPZ46,NA
5PCET67,NA
5PCUQ73,NA
5PDSD70,PI 684625
5PDZB74,PI 684626
5PDZV57,NA
5PEMQ75,NA
5PESH71,NA
5PEWD78,NA
5PFDE97,NA
5PFNJ08,NA
5PFTN41,NA
5PGBK62,NA
5PHGS54,NA
5PHQP31,PI 684627
5PJSS43,NA
5PJTF71,NA
5PKGH32,NA
5PKJS34,NA
5PKLM31,NA
5PKPS94,NA
5PKYK65,NA
5PLAY23,NA
5PLET90,NA
5PLQE62,NA
5PLRT07,NA
5PLTA07,NA
5PNCZ13,NA
5PNEJ50,NA
5PNJE71,NA
5PNJZ92,NA
5PPBF43,NA
5PPHU37,PI 684628
5PPRS22,NA
5PQNE01,NA
5PQNG18,PI 684629
5PSAA27,NA
5PSGJ21,NA
5PTEG52,NA
5PTFH75,NA
5PTMG32,NA
5PUBM35,NA
5PUEE37,NA
5PUWT62,PI 684630
5PVCM27,NA
5PVED74,NA
5PVKC48,NA
5PYFS21,PI 684631
5PYMS58,NA
5PYQB84,NA
5PZCL72,NA
5PZCY11,NA
5PZHS01,NA
5PZVU43,NA
6-40M,NA
605,NA
60524-30575,PI 556713
6084016,PI 638688
6188027,PI 642347
6245,PI 632699
629-22-27,NA
6347,NA
6363,NA
66764,NA
6727,PI 556847
6738,PI 556848
680+993+994,NA
6847,PI 556862
68g-19,NA
6925,PI 556902
6955,PI 556903
6995,PI 556904
70286G002,NA
70543,NA
70653G003,NA
7085005,PI 633008
70887,NA
70961,NA
71022G016,NA
71026G005,NA
71128G100,NA
71165G032,NA
71229-31008,PI 556714
71288G134,NA
7144,NA
71495,NA
71557T001,NA
7178,NA
71865T001,NA
7499,PI 611112
751-8-1-15,NA
76599,NA
80053,NA
82266-B84-09240,NA
82285,NA
8377-16,NA
8397-11,NA
840-2-7,NA
85336-B88-31056,NA
881-57,NA
88154622393,PI 594383
88401,PI 632303
9004,PI 592534
90210-30266,PI 556712
90339-30435,PI 556715
90505,PI 636114
90675,NA
90676,NA
90676A,NA
90682,NA
90682C,NA
90682E,NA
90683,NA
90683C,NA
90685A,NA
90686,NA
90687,NA
90688,NA
90688A,NA
90688C,NA
90731S043,NA
90732-150,NA
90733,NA
90736-085,NA
90753,NA
90755,NA
90765T003,NA
90768G025,NA
90773,NA
91013F2,NA
91183,NA
92032-A95-58316,NA
92283-A95-30338,NA
92283-A95-30438,NA
92546-01td,NA
9401,NA
9461,PI 556913
95Y70,NA
96004,PI 632704
96008,PI 632309
96838,PI 632705
96LL2,NA
97026-N99-42648,NA
97284-N00-47977,NA
97824-N00-47977,NA
97M50,NA
98186-A01-30144,NA
98211-A01-36153,NA
98601,NA
98602,NA
98820-33,NA
99507,NA
99702-B02-58205,NA
99VPI-120RR,NA
99VPI-17RR,NA
99VPI-67,NA
A Elgin BC,PI 518666
A Hardin BC(6),NA
A Hardin BC(k),NA
A Harper BC,PI 518667
A-100,PI 437551
A-7,NA
A.K.,PI 548297
A.K. (Harrow),PI 548298
A00-711013,NA
A00-711020,NA
A00-711024,NA
A00-711025,NA
A00-711036,NA
A00-711041,NA
A00-711042,NA
A00-711063,NA
A00-712012,NA
A00-712013,NA
A00-712040,NA
A00-712041,NA
A00-812031,NA
A00-882130,NA
A01-409003,NA
A01-409031,NA
A01-410009,NA
A01-511017,NA
A01-511020,NA
A01-512030,NA
A01-512036,NA
A01-512050,NA
A01-611005,NA
A01-611037,NA
A01-612016,NA
A01-612043,NA
A02-136021,NA
A02-136027,NA
A02-136030,NA
A02-136031,NA
A02-236010,NA
A02-237015,NA
A02-336040,NA
A02-337046,NA
A02-338013,NA
A02-338039,NA
A02-338043,NA
A02-381008-891,NA
A02-381046,NA
A02-381100,NA
A02-381100-1538,NA
A02-381100-1539,NA
A03-841045,NA
A03-946006,NA
A04-444032,NA
A04-543043,NA
A04-545015,NA
A04-545045,NA
A04-645020,NA
A04-645031,NA
A06-915014,NA
A08-151024,NA
A09-753035,NA
A09-754003,NA
A09-755015,NA
A1,NA
A10-456040,NA
A10-555001,NA
A10-556015,NA
A10-653019,NA
A1007978,PI 656346
A1015895,PI 660299
A1016011,PI 660013
A1020074,PI 660012
A1020078,PI 660008
A1022842,PI 660042
A1023169,PI 660043
A1023485,PI 660031
A1023486,PI 660028
A1023511,PI 660033
A1023535,PI 660026
A1023603,PI 660306
A1023611,PI 660036
A1023625,PI 660037
A1023673,PI 660044
A1023692,PI 660305
A1023696,PI 660032
A1023729,PI 660035
A1023748,PI 660309
A1023750,PI 660034
A1023761,PI 660023
A1023763,PI 660022
A1023771,PI 660046
A1023788,PI 660297
A1023841,PI 660021
A1023849,PI 660030
A1023943,PI 660047
A1023969,PI 660048
A1024001,PI 660029
A1024077,PI 660027
A1024103,PI 660025
A1024167,PI 660049
A1024184,PI 660300
A1024197,PI 660051
A1024198,PI 660308
A1024210,PI 660024
A1024212,PI 660020
A1024216,PI 660307
A1024230,PI 660018
A1024249,PI 660019
A1024300,PI 660304
A1024305,PI 660050
A1024318,PI 660038
A1024340,PI 660310
A1024341,PI 660039
A1024350,PI 660302
A1024629,PI 660040
A1024630,PI 660041
A1024631,PI 660010
A1024638,PI 660009
A1024650,PI 660301
A1024666,PI 660011
A1024693,PI 660303
A1024702,PI 660014
A1024705,PI 660015
A1024719,PI 660052
A1024720,PI 660298
A1024750,PI 660045
A1024751,PI 660016
A1024755,PI 660311
A1024763,PI 660017
A1025937,PI 664052
A1026046,PI 664071
A1026139,PI 664070
A1026142,PI 664069
A1026150,PI 664068
A1026151,PI 664067
A1026219,PI 664066
A1026287,PI 669975
A1026305,PI 664065
A1026312,PI 667623
A1026332,PI 664064
A1026344,PI 664063
A1026390,PI 664062
A1026393,PI 664061
A1026415,PI 664060
A1026418,PI 664059
A1026419,PI 664058
A1026436,PI 664057
A1026437,PI 664056
A1026458,PI 664055
A1026474,PI 664054
A1026505,PI 664053
A1026545,PI 664031
A1026552,PI 664051
A1026561,PI 664050
A1026591,PI 664049
A1026602,PI 664048
A1026611,PI 664039
A1026616,PI 664047
A1026620,PI 667624
A1026622,PI 664045
A1026649,PI 664044
A1026657,PI 664043
A1026677,PI 664046
A1026729,PI 664040
A1026742,PI 664041
A1026796,PI 664042
A1026809,PI 664038
A1026810,PI 664037
A1026828,PI 664036
A1026832,PI 664035
A1026848,PI 664034
A1026888,PI 664033
A1026903,PI 664032
A1035300,PI 669976
A1035361,PI 667625
A1035362,PI 667626
A1035365,PI 667627
A1035368,PI 667628
A1035431,PI 667629
A1035446,PI 671840
A1035765,PI 673077
A1035898,PI 667630
A1035957,PI 669977
A1036109,PI 669978
A1036212,PI 669979
A1036292,PI 669980
A1036320,PI 667631
A1036419,PI 669981
A1036421,PI 669982
A1036446,PI 669983
A1036554,PI 673109
A1036609,PI 667633
A1037403,PI 669984
A1037405,PI 667632
A1037420,PI 667635
A1037425,PI 667634
A1037429,PI 667636
A1037446,PI 667637
A1037459,PI 667638
A1037490,PI 667639
A1037507,PI 667640
A1037511,PI 667641
A13,NA
A14743B002,NA
A15025B011,NA
A15025B020,NA
A1564,NA
A17,NA
A18-231,NA
A2,PI 596522
A20,NA
A2506,NA
A2543,PI 556929
A2833,PI 594382
A29,NA
A3,PI 596523
A3-117,NA
A3-118,NA
A3-127,NA
A3-128,NA
A3-1411-20,NA
A3-1411-27,NA
A3-1411-47,NA
A3-163,NA
A3-176,NA
A3-360-12,NA
A3-61,NA
A3-9,NA
A3-92,NA
A31-291,NA
A3127BC3F2-1,NA
A4,PI 596524
A4009,PI 556860
A41-251,NA
A4138,PI 565512
A43-10,NA
A43-107,PI 548577
A43-108,PI 548577
A43-109,NA
A43-117,NA
A43-118,NA
A43-127,NA
A43-128,NA
A43-14,NA
A43-1411-20,NA
A43-1411-27,NA
A43-1411-47,NA
A43-143,NA
A43-149,NA
A43-163,NA
A43-17,NA
