Female,Male,Cultivar
McCall,Unspecified,PI 556844
McCall,Sloan,PI 556895
Syngenta S07-80,Syngenta S19-90,PI 592892
Amsoy 71 (3),PI189868,PI 556643
Syngenta S07-80,Syngenta S23-03,PI 578293
9240R,Weber,PI 561205
Corsoy,Wayne,PI 556502
McCall,Syngenta S19-90,PI 590533
A5-5629-4,PI257435,PI 556501
Syngenta S12-22,Century 84,PI 597883
Syngenta S14-92,Hodgson,PI 556658
Hark,Wayne,PI 556482
Corsoy,Wayne,PI 548690
Syngenta S20-20,Syngenta S19-90,PI 610444
(((Mack*Corsoy)*B216)*B216),(Syngenta S12-44*Mack),PI 556765
Amoy Rps1,Clark 63,PI 556518
Unspecified,Unspecified,PI 578294
S48,Pella,PI 556896
Syngenta S31-33,Syngenta S19-90,PI 592893
Syngenta S14-92 (3),Tracy,PI 556644
B152,Pella,PI 556897
Syngenta S19-90,PS42,PI 610445
B152,CM497,S20-20
B152,CM497,PI 540880
B152,HS235,PI 556898
Syngenta S21-98,Syngenta S19-90,S20-91
Syngenta S21-98,Syngenta S19-90,PI 590534
Syngenta S25-96,(Syngenta S14-92 (4)*Tracy),PI 556863
(Syngenta S14-60*Syngenta S23-12),Asgrow A2234,PI 597884
Syngenta S33-32,Syngenta S19-90,PI 603803
B216,Hodgson,PI 556724
Syngenta S21-98,Syngenta S19-90,PI 592894
Syngenta S13-46,Asgrow A2575,PI 556822
(B152*(Cutler 71*Essex)),Syngenta S29-20,PI 598215
((Mack*Corsoy)*B216),B216,PI 556763
Asgrow A3127,(CM385*CCM399),PI 561206
(B242*Syngenta S25-96),Syngenta S19-90,PI 610442
Ozzie,Asgrow A5474,PI 561207
Lakota,Asgrow A3127,PI 540881
Amsoy Rps,Cutler,PI 556585
Harovinton,Syngenta S24-12,PI 631167
Syngenta S18-84,Matsoy,PI 556864
(((Mack*Corsoy)*B216)*B216),(Syngenta S13-46*Mack),PI 556761
Unspecified,Unspecified,PI 561208
Syngenta S30-31,Asgrow A3127,PI 540882
Unspecified,Unspecified,WW152201
Unspecified,Unspecified,PI 597885
Syngenta S31-33,Asgrow A3307,PI 578295
Syngenta S31-33 (2),Century 84,S29-18
Syngenta S31-33 (2),Century 84,PI 590535
B216,Asgrow A2575,PI 556845
B152,9240R,PI 540883
Asgrow A2943,Syngenta S23-12,PI 566937
B216,Davis,PI 556660
B152,Pella,PI 556899
Unspecified,Unspecified,PI 610447
WX1738,L77-994,PI 556900
CM304-21,Williams,PI 556996
Vickery,S48,PI 556586
Unspecified,Unspecified,PI 603804
B152,Essex,PI 556865
Syngenta S39-99,Asgrow A3127,PI 561209
Charger,Asgrow A3860,PI 556866
Syngenta S44-77,Asgrow A3127,PI 561210
Syngenta S35-35,Asgrow A3200,PI 619095
Syngenta S35-35,Syngenta S46-44,PI 613609
Fayette,Syngenta S42-30,PI 556997
Syngenta S42-30 (2),(Williams 82*PRX58-35),PI 578296
Syngenta S14-92,Woodworth,PI 556725
